Teens_navn	Varegruppe	Varetype	Hylder_NY
Dragelykke	Gron te	okologisk	1.5
Fleur de Provence	Gron te	okologisk	1.5
Gron Ananas & Ingefaer	Gron te	okologisk	0.5
Gron Chai	Gron te	okologisk	0.5
Gron Citron	Gron te	okologisk	1
Gron Citron & Ingefaer	Gron te	okologisk	1.5
Gron Earl Grey	Gron te	okologisk	1
Gron Jasmin	Gron te	okologisk	1
Gron Kvaede	Gron te	okologisk	1.5
Gron Mango	Gron te	okologisk	0.5
Gron Mynte	Gron te	okologisk	0.5
Gron Tranebaer	Gron te	okologisk	1
Gron Vanille	Gron te	okologisk	1
Gunpowder	Gron te	okologisk	1
Japansk Bancha	Gron te	okologisk	0.5
Japansk Gyokuro	Gron te	okologisk	0.5
Kinesisk Sencha	Gron te	okologisk	0.75
Lung Ching	Gron te	okologisk	0.5
Nepal Guranse Emerald Green 	Gron te	okologisk	0.5
Sencha Satsuma	Gron te	okologisk	0.5
Cui Min	Hvid te	okologisk	0.25
Hvid Vanilledrom	Hvid te	okologisk	0.5
Pai Mu Tan	Hvid te	okologisk	1
Pai Mu Tan Citron & Ingefaer	Hvid te	okologisk	0.25
Snehvide	Hvid te	okologisk	2
Darjilong Happy Valley	Oolong	okologisk	0.5
Assam Kondoli	Sort te	okologisk	1
Ceylon Blackwood	Sort te	okologisk	1
Ceylon FBOP	Sort te	okologisk	0.5
Chai (NY - H&L)	Sort te	okologisk	1.5
Citronte	Sort te	okologisk	1
Cream Tea	Sort te	okologisk	1
Darjeeling Ambootia	Sort te	okologisk	1
Earl Blue	Sort te	okologisk	2
Earl Grey	Sort te	okologisk	3
Earl Grey Jasmin	Sort te	okologisk	1
Earl Grey Vanille	Sort te	okologisk	0.5
English Breakfast	Sort te	okologisk	2
Keemun	Sort te	okologisk	1
Kvaedete	Sort te	okologisk	2
Lakridste	Sort te	okologisk	0.5
Nilgiri	Sort te	okologisk	0.5
Orange te	Sort te	okologisk	1
Pu Erh	Sort te	okologisk	0.5
Tantens Breakfast	Sort te	okologisk	2
Tantens Te	Sort te	okologisk	2
Triple Lakrids	Sort te	okologisk	0.5
Vanille te	Sort te	okologisk	0.5
Yunnan Imperial	Sort te	okologisk	0.5
Ammete	Urtete	okologisk	1
Anis	Urtete	okologisk	0.5
Cinnamon Cherry Glow	Urtete	okologisk	0.5
Cool Ginger	Urtete	okologisk	2
Cool Mint	Urtete	okologisk	2
Fennikel	Urtete	okologisk	0.5
Ginger Lemon Mix	Urtete	okologisk	2
Kamille-Mynte	Urtete	okologisk	0.5
Kamilleblomst	Urtete	okologisk	1
Lakridsrod	Urtete	okologisk	0.5
Lust for life	Urtete	okologisk	1
Marokkansk Nana Mynte	Urtete	okologisk	1
Pebermynte	Urtete	okologisk	1
Pura Vida Tea oKO	Urtete	okologisk	2
Sanders Lakridste	Urtete	okologisk	0.25
Skaersommernatste	Urtete	okologisk	0.25
Stjerneanis	Urtete	okologisk	0.5
Sweet'n'Spicy	Urtete	okologisk	0.5
Veg'N Berries Tea oKO	Urtete	okologisk	0.5
Yoga	Urtete	okologisk	0.75
Efteraarste	Rooibos	okologisk	1
Honeybush	Rooibos	okologisk	0.25
Ren Rooibos	Rooibos	okologisk	0.5
Rooibos Chai 	Rooibos	okologisk	0.25
Rooibos Choko Mint	Rooibos	okologisk	0.25
Rooibos Citron	Rooibos	okologisk	0.5
Rooibos Earl Grey	Rooibos	okologisk	0.5
Rooibos Orange	Rooibos	okologisk	0.5
Rooibos Vanille	Rooibos	okologisk	0.5
Jasmin Perler	Special	okologisk	0.25
Madlavnings matcha	Special	okologisk	0.25
Matcha Beginners	Special	okologisk	0.25
Matcha Premium	Special	okologisk	0.25
Cool Summer	Gron te	no okologisk	1
Farmors Feriedrom	Gron te	no okologisk	1
Green Truffle Passion	Gron te	no okologisk	1
Gron Ananas	Gron te	no okologisk	0.5
Gron Elverte – paaskete	Gron te	no okologisk	1
Gron Fersken	Gron te	no okologisk	0.5
Gron Granataeble	Gron te	no okologisk	1
Gron Jordbaer	Gron te	no okologisk	0.5
Gron Kanel	Gron te	no okologisk	0.5
Gron Karamel	Gron te	no okologisk	1
Gron Mint Karamel	Gron te	no okologisk	1
Gron Rabarber	Gron te	no okologisk	1
Gron Valnod	Gron te	no okologisk	1
Japansk Bancha Houjicha	Gron te	no okologisk	0.25
Japansk Genmaicha	Gron te	no okologisk	0.25
Japansk Kukicha	Gron te	no okologisk	0.25
Matcha Genmaicha	Gron te	no okologisk	0.25
Mormors Sommerhave	Gron te	no okologisk	1
Pi Lo Chun	Gron te	no okologisk	0.25
Tornerose	Gron te	no okologisk	0.5
Golden Fortune	Hvid te	no okologisk	0.25
Hvid Chokolade	Hvid te	no okologisk	0.5
Hvid Granataeble	Hvid te	no okologisk	1
Hvid Multebaer	Hvid te	no okologisk	1
Pai Mu Tan Fersken	Hvid te	no okologisk	0.5
White Tropical	Hvid te	no okologisk	1.5
Formosa Oolong Choicest	Oolong	no okologisk	0.25
Formosa Top Fancy	Oolong	no okologisk	0.25
Ginseng Oolong	Oolong	no okologisk	0.25
Jade Oolong	Oolong	no okologisk	0.25
Milky Oolong	Oolong	no okologisk	0.25
Oolong Orangeblomst	Oolong	no okologisk	0.25
Ti Kuan Jin	Oolong	no okologisk	0.25
Assam Harmutty	Sort te	no okologisk	1
Caramel Cream	Sort te	no okologisk	1.5
Ceylon BOP UVA Highlands	Sort te	no okologisk	1
Coconut Cream	Sort te	no okologisk	0.5
Darjeeling House Blend	Sort te	no okologisk	1
Earl Grey Blue Lady	Sort te	no okologisk	2
Earl Grey koffeinfri	Sort te	no okologisk	0.5
Ferskente	Sort te	no okologisk	0.5
Halloween Te	Sort te	no okologisk	0.25
Inka chokolade	Sort te	no okologisk	0.5
John Deere	Sort te	no okologisk	0.25
Kandiseret aeble	Sort te	no okologisk	0.5
Keemun Luksus Congou	Sort te	no okologisk	1
Kenya Marinyn	Sort te	no okologisk	0.5
Lapsang Soushong	Sort te	no okologisk	0.5
Liselejeblanding	Sort te	no okologisk	1
Mandel te	Sort te	no okologisk	0.5
Munkete	Sort te	no okologisk	0.25
Panyong OP	Sort te	no okologisk	0.5
Rabarber te	Sort te	no okologisk	1
Skovbaer te	Sort te	no okologisk	1
Solbaer te	Sort te	no okologisk	1
Tempeltrae	Sort te	no okologisk	1
Tranebaer te	Sort te	no okologisk	0.5
Yunnan FOP	Sort te	no okologisk	0.5
Afslapningste	Urtete	no okologisk	0.5
Balancete	Urtete	no okologisk	0.5
Cool Mint	Urtete	no okologisk	4
Maté	Urtete	no okologisk	0.25
Opmuntringste	Urtete	no okologisk	0.5
Paerehaven	Urtete	no okologisk	1
Red Rush	Urtete	no okologisk	0.25
Tantens Godnatte	Urtete	no okologisk	1
Tantens Ondt i halsente	Urtete	no okologisk	1
Rooibos Caramel Cream	Rooibos	no okologisk	1
Rooibos Havtorn	Rooibos	no okologisk	1
Rooibos Hyldeblomst	Rooibos	no okologisk	1
Rooibos Ingefaer & Paere	Rooibos	no okologisk	0.5
Rooibos Rabarber	Rooibos	no okologisk	0.5
